,ts_code,symbol,name,exchange_id,list_status,list_date
3406,603706.SH,603706,东方环宇,SSE,L,20180709
3407,603707.SH,603707,健友股份,SSE,L,20170719
3408,603708.SH,603708,家家悦,SSE,L,20161213
3409,603709.SH,603709,中源家居,SSE,L,20180208
3410,603711.SH,603711,香飘飘,SSE,L,20171130
3411,603712.SH,603712,七一二,SSE,L,20180226
3412,603713.SH,603713,密尔克卫,SSE,L,20180713
3413,603716.SH,603716,塞力斯,SSE,L,20161031
3414,603717.SH,603717,天域生态,SSE,L,20170327
3415,603718.SH,603718,海利生物,SSE,L,20150515
3416,603721.SH,603721,中广天择,SSE,L,20170811
3417,603722.SH,603722,阿科力,SSE,L,20171025
3418,603725.SH,603725,天安新材,SSE,L,20170906
3419,603726.SH,603726,朗迪集团,SSE,L,20160421
3420,603727.SH,603727,博迈科,SSE,L,20161122
3421,603728.SH,603728,鸣志电器,SSE,L,20170509
3422,603729.SH,603729,龙韵股份,SSE,L,20150324
3423,603730.SH,603730,岱美股份,SSE,L,20170728
3424,603733.SH,603733,仙鹤股份,SSE,L,20180420
3425,603737.SH,603737,三棵树,SSE,L,20160603
3426,603738.SH,603738,泰晶科技,SSE,L,20160928
3427,603757.SH,603757,大元泵业,SSE,L,20170711
3428,603758.SH,603758,秦安股份,SSE,L,20170517
3429,603766.SH,603766,隆鑫通用,SSE,L,20120810
3430,603767.SH,603767,中马传动,SSE,L,20170613
3431,603768.SH,603768,常青股份,SSE,L,20170324
3432,603773.SH,603773,沃格光电,SSE,L,20180417
3433,603776.SH,603776,永安行,SSE,L,20170817
3434,603777.SH,603777,来伊份,SSE,L,20161012
3435,603778.SH,603778,乾景园林,SSE,L,20151231
3436,603779.SH,603779,威龙股份,SSE,L,20160516
3437,603787.SH,603787,新日股份,SSE,L,20170427
3438,603788.SH,603788,宁波高发,SSE,L,20150120
3439,603789.SH,603789,星光农机,SSE,L,20150427
3440,603797.SH,603797,联泰环保,SSE,L,20170413
3441,603798.SH,603798,康普顿,SSE,L,20160406
3442,603799.SH,603799,华友钴业,SSE,L,20150129
3443,603800.SH,603800,道森股份,SSE,L,20151210
3444,603801.SH,603801,志邦家居,SSE,L,20170630
3445,603803.SH,603803,瑞斯康达,SSE,L,20170420
3446,603806.SH,603806,福斯特,SSE,L,20140905
3447,603808.SH,603808,歌力思,SSE,L,20150422
3448,603809.SH,603809,豪能股份,SSE,L,20171128
3449,603811.SH,603811,诚意药业,SSE,L,20170315
3450,603813.SH,603813,原尚股份,SSE,L,20170918
3451,603816.SH,603816,顾家家居,SSE,L,20161014
3452,603817.SH,603817,海峡环保,SSE,L,20170220
3453,603818.SH,603818,曲美家居,SSE,L,20150422
3454,603819.SH,603819,神力股份,SSE,L,20161125
3455,603822.SH,603822,嘉澳环保,SSE,L,20160428
3456,603823.SH,603823,百合花,SSE,L,20161220
3457,603825.SH,603825,华扬联众,SSE,L,20170802
3458,603826.SH,603826,坤彩科技,SSE,L,20170414
3459,603828.SH,603828,柯利达,SSE,L,20150226
3460,603829.SH,603829,洛凯股份,SSE,L,20171017
3461,603833.SH,603833,欧派家居,SSE,L,20170328
3462,603838.SH,603838,四通股份,SSE,L,20150701
3463,603839.SH,603839,安正时尚,SSE,L,20170214
3464,603843.SH,603843,正平股份,SSE,L,20160905
3465,603848.SH,603848,好太太,SSE,L,20171201
3466,603855.SH,603855,华荣股份,SSE,L,20170524
3467,603856.SH,603856,东宏股份,SSE,L,20171106
3468,603858.SH,603858,步长制药,SSE,L,20161118
3469,603859.SH,603859,能科股份,SSE,L,20161021
3470,603860.SH,603860,中公高科,SSE,L,20170802
3471,603861.SH,603861,白云电器,SSE,L,20160322
3472,603866.SH,603866,桃李面包,SSE,L,20151222
3473,603868.SH,603868,飞科电器,SSE,L,20160418
3474,603869.SH,603869,新智认知,SSE,L,20150326
3475,603871.SH,603871,嘉友国际,SSE,L,20180206
3476,603876.SH,603876,鼎胜新材,SSE,L,20180418
3477,603877.SH,603877,太平鸟,SSE,L,20170109
3478,603878.SH,603878,武进不锈,SSE,L,20161219
3479,603879.SH,603879,永悦科技,SSE,L,20170614
3480,603880.SH,603880,南卫股份,SSE,L,20170807
3481,603881.SH,603881,数据港,SSE,L,20170208
3482,603882.SH,603882,金域医学,SSE,L,20170908
3483,603883.SH,603883,老百姓,SSE,L,20150423
3484,603885.SH,603885,吉祥航空,SSE,L,20150527
3485,603886.SH,603886,元祖股份,SSE,L,20161228
3486,603887.SH,603887,城地股份,SSE,L,20161010
3487,603888.SH,603888,新华网,SSE,L,20161028
3488,603889.SH,603889,新澳股份,SSE,L,20141231
3489,603890.SH,603890,春秋电子,SSE,L,20171212
3490,603895.SH,603895,天永智能,SSE,L,20180122
3491,603896.SH,603896,寿仙谷,SSE,L,20170510
3492,603897.SH,603897,长城科技,SSE,L,20180410
3493,603898.SH,603898,好莱客,SSE,L,20150217
3494,603899.SH,603899,晨光文具,SSE,L,20150127
3495,603900.SH,603900,莱绅通灵,SSE,L,20161123
3496,603901.SH,603901,永创智能,SSE,L,20150529
3497,603903.SH,603903,中持股份,SSE,L,20170314
3498,603906.SH,603906,龙蟠科技,SSE,L,20170410
3499,603908.SH,603908,牧高笛,SSE,L,20170307
3500,603909.SH,603909,合诚股份,SSE,L,20160628
3501,603912.SH,603912,佳力图,SSE,L,20171101
3502,603916.SH,603916,苏博特,SSE,L,20171110
3503,603917.SH,603917,合力科技,SSE,L,20171204
3504,603918.SH,603918,金桥信息,SSE,L,20150528
3505,603919.SH,603919,金徽酒,SSE,L,20160310
3506,603920.SH,603920,世运电路,SSE,L,20170426
3507,603922.SH,603922,金鸿顺,SSE,L,20171023
3508,603926.SH,603926,铁流股份,SSE,L,20170510
3509,603928.SH,603928,兴业股份,SSE,L,20161212
3510,603929.SH,603929,亚翔集成,SSE,L,20161230
3511,603933.SH,603933,睿能科技,SSE,L,20170706
3512,603936.SH,603936,博敏电子,SSE,L,20151209
3513,603937.SH,603937,丽岛新材,SSE,L,20171102
3514,603938.SH,603938,三孚股份,SSE,L,20170628
3515,603939.SH,603939,益丰药房,SSE,L,20150217
3516,603955.SH,603955,大千生态,SSE,L,20170310
3517,603958.SH,603958,哈森股份,SSE,L,20160629
3518,603959.SH,603959,百利科技,SSE,L,20160517
3519,603960.SH,603960,克来机电,SSE,L,20170314
3520,603963.SH,603963,大理药业,SSE,L,20170922
3521,603966.SH,603966,法兰泰克,SSE,L,20170125
3522,603968.SH,603968,醋化股份,SSE,L,20150518
3523,603969.SH,603969,银龙股份,SSE,L,20150227
3524,603970.SH,603970,中农立华,SSE,L,20171116
3525,603976.SH,603976,正川股份,SSE,L,20170822
3526,603977.SH,603977,国泰集团,SSE,L,20161111
3527,603978.SH,603978,深圳新星,SSE,L,20170807
3528,603979.SH,603979,金诚信,SSE,L,20150630
3529,603980.SH,603980,吉华集团,SSE,L,20170615
3530,603985.SH,603985,恒润股份,SSE,L,20170505
3531,603986.SH,603986,兆易创新,SSE,L,20160818
3532,603987.SH,603987,康德莱,SSE,L,20161121
3533,603988.SH,603988,中电电机,SSE,L,20141104
3534,603989.SH,603989,艾华集团,SSE,L,20150515
3535,603990.SH,603990,麦迪科技,SSE,L,20161208
3536,603991.SH,603991,至正股份,SSE,L,20170308
3537,603993.SH,603993,洛阳钼业,SSE,L,20121009
3538,603996.SH,603996,中新科技,SSE,L,20151222
3539,603997.SH,603997,继峰股份,SSE,L,20150302
3540,603998.SH,603998,方盛制药,SSE,L,20141205
3541,603999.SH,603999,读者传媒,SSE,L,20151210
